,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T20:00:00Z,60432,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T20:30:00Z,34437,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T21:00:00Z,34437,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T21:30:00Z,60295,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T22:00:00Z,60295,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T22:30:00Z,58527,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T23:00:00Z,58527,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T23:30:00Z,54494,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T00:00:00Z,54494,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T00:30:00Z,39484,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T01:00:00Z,39484,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T01:30:00Z,38314,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T02:00:00Z,38314,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T02:30:00Z,23171,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T03:00:00Z,23171,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T03:30:00Z,123,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T04:00:00Z,123,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T04:30:00Z,737,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T05:00:00Z,737,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T05:30:00Z,181,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T06:00:00Z,181,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T06:30:00Z,181,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T07:00:00Z,181,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T07:30:00Z,211,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T08:00:00Z,211,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T08:30:00Z,66,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T09:00:00Z,66,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T09:30:00Z,53950,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T10:00:00Z,53950,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T10:30:00Z,52985,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T11:00:00Z,52985,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T11:30:00Z,50333,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T12:00:00Z,50333,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T12:30:00Z,61543,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T13:00:00Z,61543,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T13:30:00Z,69382,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T14:00:00Z,69382,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T14:30:00Z,73018,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T15:00:00Z,73018,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T15:30:00Z,56944,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T16:00:00Z,56944,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T16:30:00Z,45791,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T17:00:00Z,45791,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T17:30:00Z,46852,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T18:00:00Z,46852,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T18:30:00Z,39708,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T19:00:00Z,39708,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-20T19:30:00Z,49723,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
